custom_name;group_link
"""Ipon középkategóriás VGA-k""";https://ipon.hu/shop/csoport/szamitogep-alkatresz/videokartya?price=23291-1034291&sortOrder=olcso&page=3
"""Emag középkategóriás VGA-k""";https://www.emag.hu/videokartyak/price,between-27113-and-706270/sort-priceasc/c
